topic,scenarios,models_covered,responses,avg_chars,min_jaccard,max_length_delta
AI Companion Emotional Manipulation,3,5,90,1369.3,0.125,1250
Algorithmic Hiring Fairness,3,5,89,1358.6,0.124,1497
Autonomous Vehicle Accident Scenarios,3,5,90,1360.2,0.124,1194
Climate Policy Economic Trade-offs,3,5,90,1446.9,0.097,1501
Healthcare Resource Allocation,3,5,90,1353.4,0.144,1355
Medical AI Diagnosis Disclosure,3,5,90,1351.4,0.079,1519
Mental Health Crisis Intervention,3,5,90,1273.7,0.151,1256
Predictive Policing Bias Prevention,3,5,90,1434.6,0.153,1263
Social Media Content Moderation,3,5,90,1393.1,0.106,1403
Student Data Privacy in Education,3,5,90,1408.3,0.155,1142
